Thread Count: 5, Matrix Size N: 10, Serial Time: 1.3e-05, Parallel Time: 3.2e-05
Thread Count: 5, Matrix Size N: 11, Serial Time: 1.9e-05, Parallel Time: 0.000334
Thread Count: 5, Matrix Size N: 12, Serial Time: 2.1e-05, Parallel Time: 2.4e-05
Thread Count: 5, Matrix Size N: 13, Serial Time: 2.8e-05, Parallel Time: 2.2e-05
Thread Count: 6, Matrix Size N: 2, Serial Time: 0, Parallel Time: 0.000808
Thread Count: 6, Matrix Size N: 3, Serial Time: 1e-06, Parallel Time: 5.4e-05
Thread Count: 6, Matrix Size N: 4, Serial Time: 1e-06, Parallel Time: 7e-06
Thread Count: 6, Matrix Size N: 5, Serial Time: 1e-06, Parallel Time: 1.1e-05
Thread Count: 6, Matrix Size N: 6, Serial Time: 3e-06, Parallel Time: 1.6e-05
Thread Count: 6, Matrix Size N: 7, Serial Time: 4e-06, Parallel Time: 1.6e-05
Thread Count: 6, Matrix Size N: 8, Serial Time: 8e-06, Parallel Time: 7.9e-05
Thread Count: 6, Matrix Size N: 9, Serial Time: 1.1e-05, Parallel Time: 2e-05
Thread Count: 6, Matrix Size N: 10, Serial Time: 1.2e-05, Parallel Time: 0.000104
Thread Count: 6, Matrix Size N: 11, Serial Time: 1.7e-05, Parallel Time: 1.7e-05
Thread Count: 6, Matrix Size N: 12, Serial Time: 2.4e-05, Parallel Time: 3.6e-05
Thread Count: 6, Matrix Size N: 13, Serial Time: 3.3e-05, Parallel Time: 0.000403
Thread Count: 6, Matrix Size N: 14, Serial Time: 3.5e-05, Parallel Time: 2.4e-05
Thread Count: 7, Matrix Size N: 2, Serial Time: 1e-06, Parallel Time: 0.001272
Thread Count: 7, Matrix Size N: 3, Serial Time: 0, Parallel Time: 8.2e-05
Thread Count: 7, Matrix Size N: 4, Serial Time: 2e-06, Parallel Time: 1.4e-05
Thread Count: 7, Matrix Size N: 5, Serial Time: 2e-06, Parallel Time: 0.000131
Thread Count: 7, Matrix Size N: 6, Serial Time: 3e-06, Parallel Time: 3.1e-05
Thread Count: 7, Matrix Size N: 7, Serial Time: 6e-06, Parallel Time: 3.9e-05
Thread Count: 7, Matrix Size N: 8, Serial Time: 8e-06, Parallel Time: 2.1e-05
Thread Count: 7, Matrix Size N: 9, Serial Time: 1e-05, Parallel Time: 1.1e-05
Thread Count: 7, Matrix Size N: 10, Serial Time: 9e-06, Parallel Time: 1.3e-05
Thread Count: 7, Matrix Size N: 11, Serial Time: 1.8e-05, Parallel Time: 0.000272
Thread Count: 7, Matrix Size N: 12, Serial Time: 2.2e-05, Parallel Time: 3.7e-05
Thread Count: 7, Matrix Size N: 13, Serial Time: 2.9e-05, Parallel Time: 0.000128
Thread Count: 7, Matrix Size N: 14, Serial Time: 3.5e-05, Parallel Time: 1.5e-05
Thread Count: 8, Matrix Size N: 2, Serial Time: 0, Parallel Time: 0.000639
Thread Count: 8, Matrix Size N: 3, Serial Time: 1e-06, Parallel Time: 7e-06
Thread Count: 8, Matrix Size N: 4, Serial Time: 1e-06, Parallel Time: 8e-06
Thread Count: 8, Matrix Size N: 5, Serial Time: 2e-06, Parallel Time: 6.4e-05
Thread Count: 8, Matrix Size N: 6, Serial Time: 3e-06, Parallel Time: 4.2e-05
Thread Count: 8, Matrix Size N: 7, Serial Time: 5e-06, Parallel Time: 1.3e-05
Thread Count: 8, Matrix Size N: 8, Serial Time: 7e-06, Parallel Time: 9e-06
Thread Count: 8, Matrix Size N: 9, Serial Time: 1.1e-05, Parallel Time: 0.000136
Thread Count: 8, Matrix Size N: 10, Serial Time: 1.3e-05, Parallel Time: 5.9e-05
Thread Count: 8, Matrix Size N: 11, Serial Time: 1.8e-05, Parallel Time: 5.1e-05
Thread Count: 8, Matrix Size N: 12, Serial Time: 2.2e-05, Parallel Time: 5.8e-05
Thread Count: 8, Matrix Size N: 13, Serial Time: 2.8e-05, Parallel Time: 1.6e-05
Thread Count: 9, Matrix Size N: 2, Serial Time: 0, Parallel Time: 0.000969
Thread Count: 9, Matrix Size N: 3, Serial Time: 1e-06, Parallel Time: 3.2e-05
